event_id,family,method,param_name,param_value,payload_bytes,payload_kb,effective_bpp,pixels,pixel_accuracy,balanced_accuracy,precision,recall,f1,dice,iou
CRACK500_20160222_081839_641_721,DEO,L0_alert,none,0.0,90.0,0.087890625,0.003587372448979592,200704,0.9737723214285666,0.49999999999999745,0.0,0.0,0.0,0.0,0.0
CRACK500_20160222_081839_641_721,DEO,L1_geometry_metrology,geometry,1.0,1254.0,1.224609375,0.04998405612244898,200704,0.7896205357142818,0.8919770773637998,0.11084905660377126,0.9999999999998099,0.19957537137022607,0.19957537137022607,0.11084905660377126
CRACK500_20160222_081839_641_721,DEO,L2_visual_mask_support,support_side,8.0,1370.0,1.337890625,0.054607780612244895,200704,0.9754563934948931,0.6200024385782831,0.5754464285711717,0.24487082066864646,0.34355010619091503,0.34355010619091503,0.20740144810937933
CRACK500_20160222_081839_641_721,DEO,L2_visual_mask_support,support_side,16.0,1383.0,1.3505859375,0.05512595663265306,200704,0.9806879783163217,0.7553206730475616,0.6709359605909677,0.5174772036473181,0.5842985838067961,0.5842985838067961,0.41272727272721016
CRACK500_20160222_081839_641_721,DEO,L2_visual_mask_support,support_side,24.0,1408.0,1.375,0.05612244897959184,200704,0.9860740194515257,0.850050567840308,0.7484403300461363,0.7064969604861879,0.7268640667337338,0.7268640667337338,0.5709241633404097
CRACK500_20160222_081839_641_721,DEO,L2_visual_mask_support,support_side,32.0,1430.0,1.396484375,0.05699936224489796,200704,0.98868981186224,0.8970523684691039,0.7755891016198866,0.8003419452886017,0.7877711288941419,0.7877711288941419,0.6498534629028767
CRACK500_20160222_081839_641_721,DEO,L2_visual_mask_support,support_side,48.0,1480.0,1.4453125,0.05899234693877551,200704,0.992222377232138,0.9268714455543006,0.8474385438166921,0.857902735562147,0.8526385343813833,0.8526385343813833,0.7431298337994499
CRACK500_20160222_081839_641_721,DEO,L2_visual_mask_support,support_side,64.0,1524.0,1.48828125,0.06074617346938776,200704,0.9937121332908114,0.9384502834846422,0.8801291793311398,0.8801291793311398,0.8801291788311397,0.8801291788311397,0.7859202714163213
CRACK500_20160222_081839_641_721,DEO,L3_residual_refinement,residual_fraction,0.0,2437.0,2.3798828125,0.09713807397959184,200704,0.98868981186224,0.8970523684691039,0.7755891016198866,0.8003419452886017,0.7877711288941419,0.7877711288941419,0.6498534629028767
CRACK500_20160222_081839_641_721,DEO,L3_residual_refinement,residual_fraction,0.25,2882.0,2.814453125,0.11487563775510204,200704,0.991684271364791,0.9324180136907902,0.8231170231887788,0.8698708206685277,0.8458483416079188,0.8458483416079188,0.7328745198462335
CRACK500_20160222_081839_641_721,DEO,L3_residual_refinement,residual_fraction,0.5,3241.0,3.1650390625,0.12918526785714285,200704,0.9943847656249951,0.9602385996463159,0.8698372966206204,0.9242021276593988,0.8961960020792751,0.8961960020792751,0.8119158878503318
CRACK500_20160222_081839_641_721,DEO,L3_residual_refinement,residual_fraction,0.75,3564.0,3.48046875,0.14205994897959184,200704,0.9972646285076482,0.9746570204926741,0.9452313503303219,0.9507978723402448,0.9480064395036127,0.9480064395036127,0.9011523226501797
CRACK500_20160222_081839_641_721,DEO,L3_residual_refinement,residual_fraction,1.0,3896.0,3.8046875,0.15529336734693877,200704,0.9999999999999951,0.9999999999999024,0.9999999999998099,0.9999999999998099,0.9999999994998099,0.9999999994998099,0.9999999999998099
CRACK500_20160222_081839_641_721,Reference,Full_reference_mask,reference,1.0,25088.0,24.5,1.0,200704,0.9999999999999951,0.9999999999999024,0.9999999999998099,0.9999999999998099,0.9999999994998099,0.9999999994998099,0.9999999999998099
CRACK500_20160222_081908_1281_1,DEO,L0_alert,none,0.0,90.0,0.087890625,0.003587372448979592,200704,0.9915696747448931,0.4999999999999975,0.0,0.0,0.0,0.0,0.0
CRACK500_20160222_081908_1281_1,DEO,L1_geometry_metrology,geometry,1.0,764.0,0.74609375,0.03045280612244898,200704,0.9035196109693833,0.9513496673564446,0.08035714285713903,0.999999999999409,0.14876033044080378,0.14876033044080378,0.08035714285713903
CRACK500_20160222_081908_1281_1,DEO,L2_visual_mask_support,support_side,8.0,880.0,0.859375,0.035076530612244895,200704,0.9945591517857094,0.8847460354859931,0.648809523809202,0.7730496453896141,0.7055016176264144,0.7055016176264144,0.5449999999997729
CRACK500_20160222_081908_1281_1,DEO,L2_visual_mask_support,support_side,16.0,889.0,0.8681640625,0.035435267857142856,200704,0.9963827327806073,0.885958573889061,0.7923728813554526,0.773640661938077,0.7828947363417085,0.7828947363417085,0.6432432432429271
CRACK500_20160222_081908_1281_1,DEO,L2_visual_mask_support,support_side,24.0,900.0,0.87890625,0.03587372448979592,200704,0.9974340322066277,0.9351260059205252,0.8319232938517587,0.8717494089829363,0.8513708508706331,0.8513708508706331,0.7412060301503813
CRACK500_20160222_081908_1281_1,DEO,L2_visual_mask_support,support_side,32.0,909.0,0.8876953125,0.036232461734693876,200704,0.99796715561224,0.9374458049713338,0.8821428571423321,0.8758865248221773,0.8790035582183461,0.8790035582183461,0.7841269841265692
